name,borough,michelin_category,notes
Sushi Akira,Manhattan,selected,
Lei,Manhattan,selected,
Comal,Manhattan,selected,
Smithereens,Manhattan,selected,
La Dong,,,
Sushi Sho,,,
Four Twenty Five,,,
One White Street,,,
Le Pavillon,,,
Hyun,,,
Soothr,,,
Ruffian,,,
Bohemian Spirit,,,
Huso,,,
Muku,,,
Adda,,,
Bánh Anh Em,,,
Bridges,,,
Yamada,,,
Crane Club,,,
Ishq,,,
Dame,,,
Yellow Rose,,,
Manhatta,,,
Tsukimi,,,
Chola,,,
Maison Passerelle,,,
Shabushabu Mayumon,,,
Santi,,,
Cafe Commerce,,,
Crevette,,,
Massara,,,
Corima,,,
See No Evil Pizza,,,
Jua,,,
J.G. Melon,,,
Sushi Yasuda,,,
Don Antonio,,,
Bayon,,,
Cheli,,,
Dagon,,,
Cho Dang Gol,,,
Lobster Club,,,
Laliko,,,
Markette,,,
Ly Ly Vietnam Cookhouse,,,
Bartolo,,,
La Tête d'Or,,,
Forsythia,,,
Le Veau d'Or,,,
Kochi,,,
The Leopard at Des Artistes,,,
Frevo,,,
Persepolis,,,
Caviar Russe,,,
Oso,,,
Benoit,,,
Izakaya Futago,,,
Ai Fiori,,,
Thai Diner,,,
II Fiorista,,,
Don Angie,,,
Torien,,,
Raoul's,,,
Aquavit,,,
Katz's,,,
Tempura Matsui,,,
Le Coucou,,,
Altro Paradiso,,,
Estela,,,
Sushi Nakazawa New York,,,
Novitá,,,
Noda,,,
Kubeh,,,
Barawine,,,
Jeju Noodle Bar,,,
Le B,,,
Ariari,,,
Moody Tongue Sushi,,,
Tatiana,,,
Hav & Mar,,,
Jean-Georges,,,
Atera,,,
Little Alley,,,
La Mercerie,,,
Gabriel Kreuther,,,
Café Boulud,,,
Pinch Chinese,,,
Miss Lily's,,,
Fasano,,,
Carlotto,,,
The Commerce Inn,,,
Semma,,,
Carne Mare,,,
Veerays,,,
Oceans,,,
Dhamaka,,,
Tha Phraya,,,
Nami Nori,,,
Portale,,,
Farra,,,
Wayan,,,
Szechuan Gourmet,,,
Saga,,,
Eléa,,,
Misson Ceviche,,,
Yoshino,,,
Orsay,,,
HanGawi,,,
Gallaghers,,,
Masa,,,
Cafe Sabarsky,,,
Cote,,,
Upland,,,
Avant Garden,,,
Crown Shy,,,
Tolo,,,
The Dining Room at The Guesthouse,,,
Little Myanmar,,,
Le Rock,,,
Jōji,,,
Le Bernardin,,,
Kung Fu Little Steamed Buns Ramen,,,
Tonchin,,,
Tamarind,,,
Marea,,,
The Musket Room,,,
Russ & Daughters Café,,,
Una Pizza Napoletana,,,
abcV,,,
Cosme,,,
Dim Sum Go Go,,,
L'Abeille à Côté,,,
YingTao,,,
El Fish Marisqueria,,,
Pranakhon,,,
Shmoné,,,
La Devozione: The Oval,,,
Peak,,,
Gramercy Tavern,,,
Minetta Tavern,,,
Atla,,,
Secchu Yokota,,,
Seoul Salon,,,
53,,,
Oiji Mi,,,
8282,,,
Covacha,,,
Joo Ok,,,
Odre,,,
Sempre Oggi,,,
Bungalow,,,
Hyderabadi Zaiqa,,,
Red Paper Clip,,,
Sami & Susu,,,
Papa San,,,
Kabawa,,,
Chez Fifi,,,
Sushi Ikumi,,,
Rosella,,,
Daniel,,,
Cervo's,,,
Dons Bogam,,,
Kanyakumari,,,
Lungi,,,
Chalong,,,
Le Jardinier New York,,,
Rezd?ra,,,
The Lambs Club,,,
Melba's,,,
The Grill,,,
Ballato,,,
Loring Place,,,
Junoon,,,
Family Meal at Blue Hill,,,
odo,,,
Carbone,,,
Monofuku Noodle Bar,,,
I Sodi,,,
Ulivo,,,
Penny,,,
Moono,,,
Café Carmellini,,,
Peppercorn Station,,,
Raf's,,,
MayRee,,,
Miss Mamie's Spoonbread Too,,,
JoJo,,,
Sushi Noz,,,
Ivan Ramen,,,
Dirt Candy,,,
Chef's Table at Brooklyn Fare,,,
Norma Gastronomia Siciliana,,,
Jungsik New York,,,
King,,,
Pre Se,,,
The Modern,,,
Tuome,,,
Via Carota,,,
4 Charles Prime Rib,,,
Pylos,,,
MáLà Project,,,
Kanoyama,,,
Bar Miller,,,
Eulalie,,,
Gui,,,
bōm,,,
Noz 17,,,
Torrisi,,,
Casa Mono,,,
Atomix,,,
Ernesto's,,,
Le Gigot,,,
Kyma,,,
Atoboy,,,
Sobaya,,,
Kosaka,,,
Octo,,,
Kebab aur Sharab,,,
Lord's,,,
Jupiter,,,
Nudibranch,,,
HAGS,,,
Ci Siamo,,,
Chambers,,,
Cha Kee,,,
63 Clinton,,,
Nyonya,,,
Noreetuh,,,
Eleven Madison Park,,,
Bangkok Supper Club,,,
Coqodaq,,,
Nōksu,,,
Potluck Club,,,
Ma•dé,,,
The Office of Mr.Moto,,,
Superiority Burger,,,
Claud,,,
C as in Charlie,,,
Essential by Christophe,,,
Soda Club,,,
Ito,,,
Icca,,,
Genesis House Restaurant,,,
L'Abeille,,,
Mari,,,
Chick Chick,,,
Sal Tang's,,,
6 Restaurant,,,
Café Kestrel,,,
Phayul,,,
Cardamom,,,
Mango Bay,,,
Glin Thai Bistro,,,
Daphne's,,,
Madre,,,
SaRanRom Thai,,,
Gordo's Cantina,,,
Sawa,,,
Tong,,,
Hupo,,,
Rolo's,,,
Seppe Pizza Bar,,,
Hometown Bar B Que New York,,,
Enoteca Maria,,,
Lakruwana,,,
il Gigante,,,
Rose Marie,,,
Hungry Thirsty,,,
Cafe Mado,,,
Pierozek,,,
Caleta 111 Cevicheria,,,
Risbo,,,
Chez Ma Tante,,,
Tong Sam Gyup Goo Yi,,,
Peter Luger,,,
Sunday in Brooklyn,,,
Legend of Taste,,,
Miss Ada,,,
Mile End,,,
Casa Ora,,,
Ammazzacaffè,,,
Aska,,,
Chavela's,,,
Tra Di Noi,,,
Speedy Romeo,,,
Untable,,,
Meju,,,
La Vara,,,
Patricia's,,,
Casa Enrique,,,
Café Mars,,,
Inga's Bar,,,
Al Badawi,,,
Francie,,,
Gage & Tollner,,,
Sagara,,,
Oxomoco,,,
Shalom Japen,,,
The River Café,,,
Fausto,,,
Sailor,,,
ILIS,,,
Asian Jewels,,,
Vert Frais,,,
Agi's Counter,,,
Jiang Nan,,,
LORE,,,
Red Hook Tavern,,,
Lingo,,,
Place des Fêtes,,,
Bonnie's,,,
Olmo,,,
Taqueria El Chato,,,
Haenyeo,,,
?ka Ka Q?llu,,,
Yemenat,,,
Maria Restaurant,,,
The Four Horsemen,,,
Sofreh,,,
Hart's,,,
Dubrovnik,,,
East Harbor Seafood Palace,,,
Seis Vecinos,,,
Taverna Kyclades,,,
Runner & Stone,,,
Theodora,,,
R40,,,
Win Son,,,
Saint Julivert Fisherie,,,
Gus's Chop House,,,
Meadowsweet,,,
Alta Calidad,,,
Roberta's,,,
Tanoreen,,,
Alley 41,,,
Chuan Tian Xia,,,
Enso,,,
Shota Omakase,,,
Neta Shari,,,
Restaurant Yuu,,,
Tobalá,,,
Mesiba,,,
Zaab Zaab,,,
Uzuki,,,
KRU,,,
Wenwen,,,
Laser Wolf,,,
Sobre Masa,,,
Runner Up,,,
